raccolta fondi	sviluppo	1.0	1.0	1.0
patologia	ematologia	2.0	2.5	2.25
valle	depressione	0.5	0.0	0.25
telescopio	sedia	0.5	1.0	0.75
heavy metal	palco	2.0	2.0	2.0
globalismo	visto	0.8	1.0	0.9
pipistrello	vampiro	2.8	2.5	2.65
deputato	dirigente	3.0	2.5	2.75
elettricità	cassa	0.0	1.0	0.5
forestiero	straniero	4.0	3.5	3.75
bottone	macchina da cucire	2.0	2.0	2.0
mago	cavo	0.2	0.0	0.1
filosofo	corsa	0.0	0.0	0.0
popcorn	cinema	2.0	2.5	2.25
agricoltura	pianta	2.0	2.8	2.4
poeta	giornalista	1.0	3.0	2.0
tempo	onda	1.5	1.5	1.5
civiltà	stile di vita	1.8	1.5	1.65
neve	ghiaccio	3.0	3.5	3.25
Seconda Guerra Mondiale	Beethoven	0.0	0.0	0.0
scheda madre	scheda madre	4.0	4.0	4.0
circolo	marchio	0.0	0.0	0.0
Alessandro Magno	conquistatore	1.8	2.0	1.9
app	galassia	0.0	0.0	0.0
cloud computing	pioggia	0.0	0.0	0.0
televisione	attore	1.8	1.5	1.65
delta	mare	1.8	0.5	1.15
filato	filo	3.8	3.0	3.4
attraversamento pedonale	persona	1.8	2.0	1.9
proteina	maniglia	0.0	0.0	0.0
U2	Ronaldo	0.0	1.0	0.5
Apple	iPhone	2.0	3.0	2.5
menta piperita	gomma	1.5	0.0	0.75
poster	carta	1.8	2.0	1.9
UNICEF	radice	0.0	0.0	0.0
xenofobia	razzismo	3.8	3.5	3.65
Woody Allen	lente	0.0	1.0	0.5
lampada	genio	1.8	2.0	1.9
marina militare	isola	0.5	2.0	1.25
muro	castello	2.0	2.5	2.25
dinosauro	elefante	2.5	2.5	2.5
torre dell'orologio	pietra	0.2	1.5	0.85
medio oriente	Eufrate	1.0	2.0	1.5
prato	prateria	4.0	3.5	3.75
chitarra	violino	3.0	3.0	3.0
diplomazia	negoziato	3.5	3.5	3.5
gravità	meteora	1.0	2.0	1.5
QI	Mensa	2.0	3.0	2.5
Union Jack	bandiera	3.0	3.0	3.0
terremoto	scossa	4.0	3.0	3.5
