raccolta fondi	sviluppo	bn:22269814n	bn:00001557n	Raccolta di fondi,Consulente del fund raising,Fund raising,Raccolta fondi	progresso,avanzamento,passo avanti,sviluppo
patologia	ematologia	bn:00061013n	bn:00042468n	patologia	ematologia
valle	depressione	bn:00079476n	bn:00019823n	valle,vallata,conca	Disturbo depressivo, Depressione clinica, depressione
telescopio	sedia	bn:00069738n	bn:00017515n	telescopio,cannocchiale	sedia,seggiola,gamba della sedia
heavy metal	palco	bn:00043479n	bn:00073816n	Heavy metal,metal,musica metal	palcoscenico,palco,palco scenico
globalismo	visto	bn:03571132n	bn:00080087n	Mondialismo,Globalismo	visto,Visto d'ingresso,nulla osta
pipistrello	vampiro	bn:00008977n	bn:00049788n	pipistrello,chiroptera,Chirotteri	vampiro,Lamia,Vampiri
deputato	dirigente	bn:00026025n	bm:00032179n	delegato,Rappresentante,addetto,deputato	direttore esecutivo,alta dirigenza,amministratore,dirigente
elettricità	cassa	bn:00030192n	bn:00012524n	elettricità	scatola,cassetta,astuccio,cassa
forestiero	straniero	bn:00002726n	bn:00002725n	sconosciuto,estraneo,forestiero	straniero,forestiero,foresto
bottone	macchina da cucire	bn:00014305n	bn:00070769n	bottone	macchina da cucire,Macchina per cucire,cucitrice
mago	cavo	bn:00052696n	bn:00014458n	mago,stregone,negromante	cavo,Cavo elettrico,Cavi
filosofo	corsa	bn:00061979n	bn:00068552n	Filosofo	corsa,Gara
pop corn	cinema	bn:00063566n	bn:00019129n	Pop-corn,pop corn,popcorn	cinema,cinematografo,sala cinematografica
agricoltura	pianta	bn:00002096n	bn:00035324n	agricoltura,agraria	flora,pianta,Plantae
poeta	giornalista	bn:00063196n	bn:00048461n	poeta,poetessa,cantore	giornalista,articolista,reporter
tempo	onda	bn:00006808n	bn:00056171n	tempo (meteorologia),meteo,tempo meteorologico	onda,onda marina,onda del mare
civiltà	stile di vita	bn:00019384n	bn:00051057n	civiltà,civilizzazione	stile di vita,Modus vivendi,vita
neve	ghiaccio	bn:00072456n	bn:00045705n	neve	ghiaccio,Ghiacci,Ghiacciato
Seconda Guerra Mondiale	Beethoven	bn:00070139n	bn:00009608n	Seconda guerra mondiale,World War II	Ludwig van Beethoven,Beethoven
scheda madre	scheda madre	bn:00023437n	bn:00023437n	scheda madre,motherboard	scheda madre,motherboard
circolo	marchio	bn:00019169n	bn:00012767n	cerchio,circolo,Circonferenza	marchio
Alessandro Magno	conquistatore	bn:00002612n	bn:00021939n	Alessandro Magno,Aleksandr,Alessandro	conquistatore
app	galassia	bn:02709719n	bn:00032476n	Applicazione mobile,app	galassia,nebulosa
cloud computing	pioggia	bn:01225375n	bn:00066032n	Cloud computing	pioggia,acqua,acqua piovana
televisione	attore	bn:00076373n	bn:00001176n	televisione,TV,tivvù	attore,attrice,istrione
delta	mare	bn:00026081n	bn:00069946n	delta,Delta fluviale,Delta fluviali	mare,acque
filato	filo	bn:00077028n	bn:00077028n	filo,filato,refe	filo,filato,refe
attraversamento pedonale	persona	bn:00061238n	bn:00044576n	strisce pedonali,attraversamento pedonale,passaggio pedonale	uomo,essere umano,Homo,persona
proteina	maniglia	bn:00064855n	bn:00028256n	proteina,Proteine,protide,protidi	maniglia,pomello,maniglia della porta
U2	Ronaldo	bn:03320432n	bn:03510109n	U2	Ronaldo
Apple	iPhone	bn:03739345n	bn:03773392n	Apple,Apple Computer Inc.,Apple Inc.	IPhone,melafonino
menta piperita	gomma	bn:00054382n	bn:14214761n	Mentha piperita,Menta piperita,menta,Menta di pancalieri,menta peperita	gomma
poster	carta	bn:00010395n	bn:00060464n	cartellone,manifesto,cartello,poster	carta
UNICEF	radice	bn:00079074n	bn:00068246n	Fondo delle Nazioni Unite per l'infanzia,UNICEF,United Nations International Children's Emergency Fund,Fondo internazionale di emergenza delle Nazioni Unite per l'infanzia,U.N.I.C.E.F.	radice,radica,Apparato radicale
xenofobia	razzismo	bn:00081765n	bn:00065822n	xenofobia,Xenofobo,Xenofoba,Paura del diverso,senofobia	razzismo,discriminazione etnica,discriminazione razziale,discriminazione religiosa,Razzialismo
Woody Allen	lente	bn:00002833n	bn:00050673n	Woody Allen,Allan Stewart Königsberg	lente,sistema di lenti,lentille
lampada	genio	bn:00049804n	bn:00027956n	lampada	jinn,genio,Djinn
marina militare	isola	bn:00057052n	bn:00047612n	marina,marina militare,marineria	isola,isole
muro	castello	bn:00080386n	bn:00016570n	muro,parete	castello,maniero,fortezza
dinosauro	elefante	bn:00027226n	bn:00030314n	dinosauro,Dinosauria	elefante,Elefanti
torre dell'orologio	pietra	bn:00019894n	bn:14894574n	torre dell'orologio	Pietra (classificazione commerciale)
medio oriente	Eufrate	bn:00054852n	bn:00031871n	Medio Oriente,Vicino Oriente,Medio-Oriente	 Eufrate,Al-Furāt
prato	prateria	bn:00043214n	bn:00041455n	prato (agricoltura)	prateria,ecosistema di prateria,prateria erbosa
chitarra	violino	bn:00042150n	bn:00034250n	chitarra,Chitarra ritmica,Chitarra solista	violino,fiddle,violina
diplomazia	negoziato	bn:00027281n	bn:00026838n	diplomazia	negoziato,negoziazione,trattativa,contrattazione,dialogo
gravità	meteora	bn:00041491n	bn:13856218n	gravitazione,gravità,forza di gravità	Meteora,stella cadente
QI	Mensa	bn:00017440n	bn:00753618n	Ki (filosofia),Ch'i,C'hi,qi	Mensa (associazione),Mensa International
Union Jack	bandiera	bn:02394388n	bn:00030968n	Bandiera Britannica,Bandiera del Regno Unito,Union Flag,Union Jack	Bandiera nazionale,bandiera,Bandiera civile
